phase,hash,nonce,blockNumber,transactionGasLimit,receiptGasUsed,stateGasUsed,executionGasUsedAfterRefund,stateGasPercent,exceedsEip7825ExecutionCapInTotal,executionWithinEip7825Cap,newAccounts,deployedCodeBytes,newStorageSlots,stateBytesCreated,costPerStateByte,blockGasUsed,blockTransactionCount,blockBottleneck,splitValidatedAgainstBlockGas
deploy-superchain-01,0xb8c0e378ebde39cd2f3ca46e233d69cca9088cbd3b30dd2ac3e7493c6c9f96d7,0,33,10488469,10404725,10263240,141485,98.64018510820804,False,True,1,6524,1,6708,1530,10263240,1,state,True
deploy-superchain-02,0x1f5ab9feaec6e33c269f8e334f22ca511a15a0762b76e3de6e3727f61063e954,1,34,5250726,5166384,5073480,92904,98.20175968336848,False,True,1,3132,1,3316,1530,5073480,1,state,True
deploy-superchain-03,0x98e25a07c7573244423d5b34eb943655d1dc83a3a8e9a3109007d0a19bb921ec,2,35,3535356,3506360,3431790,74570,97.87329310167809,False,True,1,2059,1,2243,1530,3431790,1,state,True
deploy-superchain-04,0x8cbcf3bd0e76cf0c3fae1c9987a5c2092da8872d013dc28be8ac5d0e31df2b96,3,36,264600,258166,195840,62326,75.85816877512919,False,True,0,0,2,128,1530,195840,1,state,True
deploy-superchain-05,0x8ff85601f1a2f9e14de869d14f95ed964ca7de604740de5eb8c705f6316817e1,4,37,20423,19762,0,19762,0.0,False,True,0,0,0,0,1530,19762,1,execution,True
deploy-implementations-01,0xf1636333db6a76f392676ab2b87661cd3d0356c41cde78c9c6b5cf4950e14100,5,38,20352854,20032541,19779840,252701,98.73854744637737,True,True,1,12680,2,12928,1530,19779840,1,state,True
deploy-implementations-02,0x354520c82e6a5cf694cf357980f5ddf2e8fd4a3da914d6b36560e609f7411cc6,6,39,15423316,15180027,14990940,189087,98.75436980448059,False,True,1,9614,1,9798,1530,14990940,1,state,True
deploy-implementations-03,0xc9bea2294a23a6c29a58a5d21ffbc042b3768cadf73f7bfaff35937b310a4bdc,7,40,10043341,9884114,9746100,138014,98.60367858970466,False,True,1,6186,1,6370,1530,9746100,1,state,True
deploy-implementations-04,0x0ddaf1e3a9ddf1fcd713f4c16fb367a5a9973e08eb2ab7ffcf5bcf0a37557e8e,8,41,20140841,19823841,19590120,233721,98.82101051960616,True,True,1,12620,1,12804,1530,19590120,1,state,True
deploy-implementations-05,0x2b8a869a94ef532e5c4535c6a1cdd22d64065a4f16e215ce051dce369f31442e,9,42,19013793,18714403,18496170,218233,98.83387677394785,True,True,1,11905,1,12089,1530,18496170,1,state,True
