chain,phase,description,hash,type,blockNumber,blockTimestamp,postAmsterdam,transactionIndex,nonce,from,to,valueWei,status,gasLimit,gasUsed,effectiveGasPriceWei,executionFeeWei,l1DataGasUsed,l1DataGasPriceWei,l1DataFeeWei,blobGasUsed,blobGasPriceWei,blobFeeWei,totalObservedFeeWei,inputSelector,note
L1,deploy-superchain-01,Deploy the Superchain ProxyAdmin,0xb8c0e378ebde39cd2f3ca46e233d69cca9088cbd3b30dd2ac3e7493c6c9f96d7,2,33,1787714574,True,0,0,0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266,0x5fbdb2315678afecb367f032d93f642f64180aa3,0,1,10488469,10404725,1012197361,10531635186930725,0,0,0,0,0,0,10531635186930725,0x60806040,
L1,deploy-superchain-02,Deploy the SuperchainConfig implementation,0x1f5ab9feaec6e33c269f8e334f22ca511a15a0762b76e3de6e3727f61063e954,2,34,1787714586,True,0,1,0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266,0x4e59b44847b379578588920ca78fbf26c0b4956c,0,1,5250726,5166384,1011195824,5224225925980416,0,0,0,0,0,0,5224225925980416,0x89fca235,
L1,deploy-superchain-03,Deploy the SuperchainConfig proxy,0x98e25a07c7573244423d5b34eb943655d1dc83a3a8e9a3109007d0a19bb921ec,2,35,1787714598,True,0,2,0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266,0x9fe46736679d2d9a65f0992f2272de9f3c7fa6e0,0,1,3535356,3506360,1010033947,3541542630402920,0,0,0,0,0,0,3541542630402920,0x60806040,
L1,deploy-superchain-04,Upgrade and initialize the SuperchainConfig proxy,0x8cbcf3bd0e76cf0c3fae1c9987a5c2092da8872d013dc28be8ac5d0e31df2b96,2,36,1787714610,True,0,3,0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266,0x5fbdb2315678afecb367f032d93f642f64180aa3,0,1,264600,258166,1008923883,260469843178578,0,0,0,0,0,0,260469843178578,0x9623609d,
L1,deploy-superchain-05,Transfer ownership of the Superchain ProxyAdmin,0x8ff85601f1a2f9e14de869d14f95ed964ca7de604740de5eb8c705f6316817e1,2,37,1787714622,True,0,4,0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266,0x5fbdb2315678afecb367f032d93f642f64180aa3,0,1,20423,19762,1007815723,19916454317926,0,0,0,0,0,0,19916454317926,0xf2fde38b,
L1,deploy-implementations-01,Deploy the SystemConfig implementation,0xf1636333db6a76f392676ab2b87661cd3d0356c41cde78c9c6b5cf4950e14100,2,38,1787714634,True,0,5,0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266,0x4e59b44847b379578588920ca78fbf26c0b4956c,0,1,20352854,20032541,1006839406,20169551681110646,0,0,0,0,0,0,20169551681110646,0x89fca235,
L1,deploy-implementations-02,Deploy the L1CrossDomainMessenger implementation,0x354520c82e6a5cf694cf357980f5ddf2e8fd4a3da914d6b36560e609f7411cc6,2,39,1787714646,True,0,6,0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266,0x4e59b44847b379578588920ca78fbf26c0b4956c,0,1,15423316,15180027,1006552580,15279495341319660,0,0,0,0,0,0,15279495341319660,0x89fca235,
L1,deploy-implementations-03,Deploy the L1ERC721Bridge implementation,0xc9bea2294a23a6c29a58a5d21ffbc042b3768cadf73f7bfaff35937b310a4bdc,2,40,1787714658,True,0,7,0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266,0x4e59b44847b379578588920ca78fbf26c0b4956c,0,1,10043341,9884114,1006146412,9944865836898968,0,0,0,0,0,0,9944865836898968,0x89fca235,
L1,deploy-implementations-04,Deploy the L1StandardBridge implementation,0x0ddaf1e3a9ddf1fcd713f4c16fb367a5a9973e08eb2ab7ffcf5bcf0a37557e8e,2,41,1787714670,True,0,8,0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266,0x4e59b44847b379578588920ca78fbf26c0b4956c,0,1,20140841,19823841,1005630160,19935452396644560,0,0,0,0,0,0,19935452396644560,0x89fca235,
L1,deploy-implementations-05,Deploy the OptimismMintableERC20Factory implementation,0x2b8a869a94ef532e5c4535c6a1cdd22d64065a4f16e215ce051dce369f31442e,2,42,1787714682,True,0,9,0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266,0x4e59b44847b379578588920ca78fbf26c0b4956c,0,1,19013793,18714403,1005390921,18815290868135163,0,0,0,0,0,0,18815290868135163,0x89fca235,
